"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3845","đăng nhập thành công với credentials hợp lệ","chromium","Fri May 15 17:45:55 UTC 2026","passed","Fri May 15 17:45:59 UTC 2026","Login Module","auth/login.spec.ts","",""
"","5159","đăng nhập thành công với credentials hợp lệ","firefox","Fri May 15 17:46:06 UTC 2026","passed","Fri May 15 17:46:11 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3841","đăng nhập thất bại khi bỏ trống email","webkit","Fri May 15 17:46:47 UTC 2026","passed","Fri May 15 17:46:51 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2582","đăng nhập thất bại khi bỏ trống password","firefox","Fri May 15 17:46:18 UTC 2026","passed","Fri May 15 17:46:21 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2647","đăng nhập thất bại khi bỏ trống email","firefox","Fri May 15 17:46:15 UTC 2026","passed","Fri May 15 17:46:18 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2250","đăng nhập thất bại khi bỏ trống password","chromium","Fri May 15 17:46:04 UTC 2026","passed","Fri May 15 17:46:06 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3646","đăng nhập thất bại với email và password sai","webkit","Fri May 15 17:46:43 UTC 2026","passed","Fri May 15 17:46:47 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2397","đăng nhập thất bại khi bỏ trống email","chromium","Fri May 15 17:46:01 UTC 2026","passed","Fri May 15 17:46:04 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2318","đăng nhập thất bại với email và password sai","chromium","Fri May 15 17:45:59 UTC 2026","passed","Fri May 15 17:46:01 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3712","đăng nhập thất bại khi bỏ trống password","webkit","Fri May 15 17:46:51 UTC 2026","passed","Fri May 15 17:46:55 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3090","đăng nhập thất bại với email và password sai","firefox","Fri May 15 17:46:12 UTC 2026","passed","Fri May 15 17:46:15 UTC 2026","Login Module","auth/login.spec.ts","",""
"","21257","đăng nhập thành công với credentials hợp lệ","webkit","Fri May 15 17:46:21 UTC 2026","passed","Fri May 15 17:46:43 UTC 2026","Login Module","auth/login.spec.ts","",""
