"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2401","đăng nhập thất bại khi bỏ trống email","chromium","Sat May 16 03:58:13 UTC 2026","passed","Sat May 16 03:58:16 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3344","đăng nhập thất bại khi bỏ trống password","firefox","Sat May 16 03:58:30 UTC 2026","passed","Sat May 16 03:58:34 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2812","đăng nhập thất bại khi bỏ trống email","firefox","Sat May 16 03:58:28 UTC 2026","passed","Sat May 16 03:58:30 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4417","đăng nhập thành công với credentials hợp lệ","chromium","Sat May 16 03:58:06 UTC 2026","passed","Sat May 16 03:58:11 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3166","đăng nhập thất bại với email và password sai","firefox","Sat May 16 03:58:24 UTC 2026","passed","Sat May 16 03:58:27 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2376","đăng nhập thất bại khi bỏ trống password","chromium","Sat May 16 03:58:16 UTC 2026","passed","Sat May 16 03:58:18 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3776","đăng nhập thất bại khi bỏ trống email","webkit","Sat May 16 03:58:51 UTC 2026","passed","Sat May 16 03:58:55 UTC 2026","Login Module","auth/login.spec.ts","",""
"","11924","đăng nhập thành công với credentials hợp lệ","webkit","Sat May 16 03:58:35 UTC 2026","passed","Sat May 16 03:58:46 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2438","đăng nhập thất bại với email và password sai","chromium","Sat May 16 03:58:11 UTC 2026","passed","Sat May 16 03:58:13 UTC 2026","Login Module","auth/login.spec.ts","",""
"","5130","đăng nhập thành công với credentials hợp lệ","firefox","Sat May 16 03:58:19 UTC 2026","passed","Sat May 16 03:58:24 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3717","đăng nhập thất bại khi bỏ trống password","webkit","Sat May 16 03:58:55 UTC 2026","passed","Sat May 16 03:58:59 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4082","đăng nhập thất bại với email và password sai","webkit","Sat May 16 03:58:47 UTC 2026","passed","Sat May 16 03:58:51 UTC 2026","Login Module","auth/login.spec.ts","",""
