"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5889","đăng nhập thành công với credentials hợp lệ","chromium","Fri May 15 17:01:32 UTC 2026","passed","Fri May 15 17:01:38 UTC 2026","Login Module","auth/login.spec.ts","",""
"","5482","đăng nhập thất bại với email và password sai","webkit","Fri May 15 17:02:23 UTC 2026","passed","Fri May 15 17:02:29 UTC 2026","Login Module","auth/login.spec.ts","",""
"","12360","đăng nhập thành công với credentials hợp lệ","webkit","Fri May 15 17:02:10 UTC 2026","passed","Fri May 15 17:02:23 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4602","đăng nhập thất bại khi bỏ trống email","webkit","Fri May 15 17:02:29 UTC 2026","passed","Fri May 15 17:02:33 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4105","đăng nhập thất bại khi bỏ trống email","firefox","Fri May 15 17:02:01 UTC 2026","passed","Fri May 15 17:02:05 UTC 2026","Login Module","auth/login.spec.ts","",""
"","6065","đăng nhập thành công với credentials hợp lệ","firefox","Fri May 15 17:01:50 UTC 2026","passed","Fri May 15 17:01:57 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4284","đăng nhập thất bại với email và password sai","firefox","Fri May 15 17:01:57 UTC 2026","passed","Fri May 15 17:02:01 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3088","đăng nhập thất bại khi bỏ trống password","chromium","Fri May 15 17:01:47 UTC 2026","passed","Fri May 15 17:01:50 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3939","đăng nhập thất bại khi bỏ trống password","firefox","Fri May 15 17:02:05 UTC 2026","passed","Fri May 15 17:02:09 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3095","đăng nhập thất bại khi bỏ trống email","chromium","Fri May 15 17:01:44 UTC 2026","passed","Fri May 15 17:01:47 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3414","đăng nhập thất bại với email và password sai","chromium","Fri May 15 17:01:40 UTC 2026","passed","Fri May 15 17:01:44 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4799","đăng nhập thất bại khi bỏ trống password","webkit","Fri May 15 17:02:33 UTC 2026","passed","Fri May 15 17:02:38 UTC 2026","Login Module","auth/login.spec.ts","",""
